GENERO,EDAD,PERSONAS_EN_CONDICION_DE_DISCAPACIDAD,HOMBRES_Y_MUJERES_CABEZA_DE_FAMILIA,ADULTO_MAYOR,GRUPOS_ETNICOS_AFRO_INDIGENA,TIPO_DE_SEGURIDAD_EN_SALUD,NIVEL_EDUCATIVO_QUE_TIENE_O_CURSA,CONDICION_OCUPACIONAL,BARRIO_O_VEREDA_DE_RESIDENCIA,ZONA_DE_RESIDENCIA,PUNTAJE_VULNERABILIDAD,NIVEL_VULNERABILIDAD,RANGO_EDAD
F,21,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,AMA DE CASA,CUBA,URBANO,6,Alto,16-25
F,17,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,ESTUDIANTE,CUBA,URBANO,3,Alto,16-25
F,16,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,ESTUDIANTE,CUBA,URBANO,3,Alto,
F,16,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,ESTUDIANTE,CUBA,URBANO,3,Alto,
F,16,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,ESTUDIANTE,CUBA,URBANO,3,Alto,
M,16,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,ESTUDIANTE,CUBA,URBANO,3,Alto,
F,24,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,VILLA DEL PRADO,URBANO,0,Bajo,16-25
M,55,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,46-55
M,17,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,ESTUDIANTE,CUBA,URBANO,3,Alto,16-25
F,16,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,ESTUDIANTE,CUBA,URBANO,3,Alto,
F,16,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,ESTUDIANTE,CUBA,URBANO,3,Alto,
M,42,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,36-45
M,39,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,ARABIA,RURAL,5,Alto,36-45
M,37,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,BOSTON,URBANO,0,Bajo,36-45
F,16,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,CAIMALITO,RURAL,4,Alto,
F,16,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),ESTUDIANTE,SAN JOAQUIN,URBANO,3,Alto,
F,16,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,14- NINGUNO,NINGUNO,PUERTO CALDAS,RURAL,7,Alto,
F,16,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,14- NINGUNO,NINGUNO,FERROCARRIL,URBANO,8,Alto,
F,16,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,CAIMALITO,RURAL,4,Alto,
F,16,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,VILLA SANTANA,URBANO,3,Alto,
F,17,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",POBLACION VINCULADA,3- BÁSICA SECUNDARIA,ESTUDIANTE,PUERTO CALDAS,RURAL,5,Alto,16-25
F,17,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,AMA DE CASA,VILLA SANTANA,URBANO,7,Alto,16-25
F,17,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,CAIMALITO,RURAL,4,Alto,16-25
F,17,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,FERROCARRIL,URBANO,3,Alto,16-25
F,17,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SAN NICOLAS,URBANO,3,Alto,16-25
F,17,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,VILLA SANTANA,URBANO,3,Alto,16-25
F,17,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,VILLA SANTANA,URBANO,3,Alto,16-25
F,18,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,ESTUDIANTE,CAIMALITO,RURAL,6,Alto,16-25
F,18,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,VILLA SANTANA,URBANO,1,Bajo,16-25
F,18,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,VILLA SANTANA,URBANO,1,Bajo,16-25
F,18,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,EMPLEADO,VILLA SANTANA,URBANO,3,Alto,16-25
F,18,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,VILLA SANTANA,URBANO,3,Alto,16-25
F,18,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,VILLA SANTANA,URBANO,3,Alto,16-25
F,18,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SAN JOAQUIN,URBANO,1,Bajo,16-25
F,19,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,CAIMALITO,RURAL,4,Alto,16-25
F,19,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,AMA DE CASA,FERROCARRIL,URBANO,7,Alto,16-25
F,19,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,CAIMALITO,RURAL,4,Alto,16-25
F,19,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,RIO OTUN,URBANO,3,Alto,16-25
F,19,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),DESEMPLEADO,SAN NICOLAS,URBANO,6,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",POBLACION VINCULADA,4- MEDIA ACADÉMICA O CLÁSICA,ESTUDIANTE,PUERTO CALDAS,RURAL,5,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,EMPLEADO,BOSTON,URBANO,1,Bajo,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,VILLA SANTANA,URBANO,1,Bajo,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,INDEPENDIENTE,VILLA SANTANA,URBANO,5,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,VILLA SANTANA,URBANO,5,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,EMPLEADO,CAIMALITO,RURAL,4,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,CAIMALITO,RURAL,4,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,VILLA SANTANA,URBANO,3,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,VILLA SANTANA,URBANO,3,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,BUSCANDO EMPLEO,EL POBLADO,URBANO,6,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,DESEMPLEADO,VILLA SANTANA,URBANO,6,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,ESTUDIANTE,TRIBUNAS CORCEGA,RURAL,4,Alto,16-25
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),ESTUDIANTE,VILLA SANTANA,URBANO,3,Alto,16-25
M,57,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,OTRO MUNICIPIO,OTRO,2,Bajo,56-65
F,20,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,ESTUDIANTE,SAN NICOLAS,URBANO,3,Alto,16-25
F,21,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",POBLACION VINCULADA,3- BÁSICA SECUNDARIA,AMA DE CASA,CAIMALITO,RURAL,7,Alto,16-25
F,21,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,SAN NICOLAS,URBANO,1,Bajo,16-25
F,21,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,ESTUDIANTE,CUBA,URBANO,1,Bajo,16-25
F,21,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,DESEMPLEADO,SAN JOAQUIN,URBANO,8,Alto,16-25
F,21,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,VILLA SANTANA,URBANO,5,Alto,16-25
F,21,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),DESEMPLEADO,LA ESTRELLA - LA PALMILLA,RURAL,7,Alto,16-25
F,22,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,CONSOTA,URBANO,1,Bajo,16-25
F,22,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,CUBA,URBANO,1,Bajo,16-25
F,22,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,14- NINGUNO,ESTUDIANTE,CONSOTA,URBANO,6,Alto,16-25
F,22,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,FERROCARRIL,URBANO,5,Alto,16-25
F,22,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,VILLA SANTANA,URBANO,5,Alto,16-25
F,22,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,DESEMPLEADO,CONSOTA,URBANO,6,Alto,16-25
F,22,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SAN NICOLAS,URBANO,3,Alto,16-25
F,22,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,AMA DE CASA,TRIBUNAS CORCEGA,RURAL,6,Alto,16-25
F,22,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,INDEPENDIENTE,SAN NICOLAS,URBANO,3,Alto,16-25
F,22,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,DESEMPLEADO,VILLA SANTANA,URBANO,6,Alto,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,CAIMALITO,RURAL,2,Bajo,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,CUBA,URBANO,1,Bajo,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,SAN JOAQUIN,URBANO,1,Bajo,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,13-UNIVERISITARIO,INDEPENDIENTE,CONSOTA,URBANO,3,Alto,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,14- NINGUNO,NINGUNO,PUERTO CALDAS,RURAL,9,Alto,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,FERROCARRIL,URBANO,5,Alto,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,TRIBUNAS CORCEGA,RURAL,6,Alto,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,BOSTON,URBANO,3,Alto,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,AMA DE CASA,VILLA SANTANA,URBANO,5,Alto,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,INDEPENDIENTE,VILLA SANTANA,URBANO,3,Alto,16-25
F,23,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,BUSCANDO EMPLEO,SAN JOAQUIN,URBANO,6,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,14- NINGUNO,AMA DE CASA,VILLA SANTANA,URBANO,6,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,AMA DE CASA,VILLA SANTANA,URBANO,5,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,FERROCARRIL,URBANO,1,Bajo,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,CONSOTA,URBANO,1,Bajo,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,AMA DE CASA,FERROCARRIL,URBANO,7,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,FERROCARRIL,URBANO,5,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,VILLA SANTANA,URBANO,5,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,FERROCARRIL,URBANO,3,Alto,16-25
M,44,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,OTRO MUNICIPIO,OTRO,0,Bajo,36-45
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,TRIBUNAS CORCEGA,RURAL,4,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,VILLA SANTANA,URBANO,3,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,AMA DE CASA,SAN JOAQUIN,URBANO,5,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,DESEMPLEADO,FERROCARRIL,URBANO,6,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,INDEPENDIENTE,TRIBUNAS CORCEGA,RURAL,4,Alto,16-25
F,24,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),BUSCANDO EMPLEO,VILLA SANTANA,URBANO,6,Alto,16-25
F,25,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,AMA DE CASA,VILLA SANTANA,URBANO,7,Alto,16-25
F,25,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,FERROCARRIL,URBANO,3,Alto,16-25
F,25,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,VILLA SANTANA,URBANO,3,Alto,16-25
F,25,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,6- NORMALISTA,BUSCANDO EMPLEO,SAN JOAQUIN,URBANO,6,Alto,16-25
F,25,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,ESTUDIANTE,SAN NICOLAS,URBANO,3,Alto,16-25
